"Getty URI","Artist Name","ULAN Bio","ULAN Scope Note","Also Known As","Type of Artist"
"http://vocab.getty.edu/ulan/500001464","""Graves, Nancy""","American conceptual artist, 1939-1995",,"Nancy Graves|Graves, Nancy Stevenson|Nancy Stevenson Graves","artists|conceptual artists|graphic artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500388600","""Bieser, Natalie""","artist, active 20th century",,"Natalie Bieser","artists"
"http://vocab.getty.edu/ulan/500028137","""Oliveira, Nathan""","American painter and printmaker, 1928-2010",,"Nathan Oliveira|Oliveira, Nathan Joseph Roderick","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500349133","""Sinton, Nell""","American painter, 1910-1997",,"Nell Sinton|Sinton, Eleanor|Sinton, Eleanor Walter","artists|painters"
"http://vocab.getty.edu/ulan/500121251","""Lee, Nikki S.""","Korean-American performance artist, born 1970",,"Nikki S. Lee|Lee, Seung-Hee","artists|performance artists"
"http://vocab.getty.edu/ulan/500116043","""Katchadourian, Nina""","American conceptual artist, born 1968",,"Nina Katchadourian","artists|conceptual artists"
"http://vocab.getty.edu/ulan/500355767","""Plender, Olivia""","English installation, video, and performance artist, born 1977, active in Berlin",,"Olivia Plender","artists|cartoonists|masters|installation artists|performance artists|video artists"
"http://vocab.getty.edu/ulan/500381312","""Klein, Pat""","artist, active 20th century",,"Pat Klein","artists"
"http://vocab.getty.edu/ulan/500071235","""Kos, Paul""","American conceptual and performance artist, born 1942",,"Paul Kos|Kos, Paul Joseph","artists|conceptual artists|miscellaneous|sculptors|video artists"
"http://vocab.getty.edu/ulan/500115653","""McCarthy, Paul""","American performance artist, sculptor, and video artist, born 1945","Provocative artist first known for his performance pieces dealing with taboos, childhood myths, and issues of human psyche and behavior, and in later career for his monumental sculptures and installations dealing with similar themes.","Paul McCarthy|Mccarthy, Paul|Paul Mccarthy","artists|painters|performance artists|photographers|sculptors|video artists"
"http://vocab.getty.edu/ulan/500005884","""Saul, Peter""","American painter, born 1934",,"Peter Saul|Saul, Paul|Paul Saul","artists|painters"
"http://vocab.getty.edu/ulan/500081144","""Voulkos, Peter""","American ceramicist and sculptor, 1924-2002","An American ceramicist who helped the craft garner acceptance as an art form by creating abstract expressionist works that vacillate between sculpture and ceramic.  ","Peter Voulkos","ceramicists|artists|sculptors"
"http://vocab.getty.edu/ulan/500008200","""Bury, Pol""","Belgian painter, sculptor, and graphic artist, 1922-2005",,"Pol Bury","artists|graphic artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500004821","""Peale, Raphaelle""","American painter, 1774-1825",,"Raphaelle Peale|Peale, Raphael|Raphael Peale","artists|miniaturists|portraitists|painters|still life artists"
"http://vocab.getty.edu/ulan/500346242","""Williams, Reese""","American writer and editor, born 1949",,"Reese Williams","editors"
"http://vocab.getty.edu/ulan/500100922","""Alpert, Richard""","American sculptor and performance artist, born 1947","Attended the University of Pittsburgh and received an MFA in sculpture from the San Francisco Art Institute in 1973. ","Richard Alpert","artists|performance artists|sculptors"
